source_file,window_start_idx,window_size,label
exp2_19drivers_1car_1route.csv,0,30,NORMAL
exp2_19drivers_1car_1route.csv,30,30,NORMAL
exp2_19drivers_1car_1route.csv,60,30,NORMAL
exp2_19drivers_1car_1route.csv,90,30,NORMAL
exp2_19drivers_1car_1route.csv,120,30,NORMAL
exp2_19drivers_1car_1route.csv,150,30,NORMAL
exp2_19drivers_1car_1route.csv,180,30,NORMAL
exp2_19drivers_1car_1route.csv,210,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,240,30,NORMAL
exp2_19drivers_1car_1route.csv,270,30,SLOW
exp2_19drivers_1car_1route.csv,300,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,330,30,NORMAL
exp2_19drivers_1car_1route.csv,360,30,NORMAL
exp2_19drivers_1car_1route.csv,390,30,NORMAL
exp2_19drivers_1car_1route.csv,420,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,450,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,480,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,510,30,NORMAL
exp2_19drivers_1car_1route.csv,540,30,NORMAL
exp2_19drivers_1car_1route.csv,570,30,NORMAL
exp2_19drivers_1car_1route.csv,600,30,NORMAL
exp2_19drivers_1car_1route.csv,630,30,NORMAL
exp2_19drivers_1car_1route.csv,660,30,NORMAL
exp2_19drivers_1car_1route.csv,690,30,NORMAL
exp2_19drivers_1car_1route.csv,720,30,NORMAL
exp2_19drivers_1car_1route.csv,750,30,NORMAL
exp2_19drivers_1car_1route.csv,780,30,NORMAL
exp2_19drivers_1car_1route.csv,810,30,NORMAL
exp2_19drivers_1car_1route.csv,840,30,NORMAL
exp2_19drivers_1car_1route.csv,870,30,NORMAL
exp2_19drivers_1car_1route.csv,900,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,930,30,NORMAL
exp2_19drivers_1car_1route.csv,960,30,NORMAL
exp2_19drivers_1car_1route.csv,990,30,NORMAL
exp2_19drivers_1car_1route.csv,1020,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,1050,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,1080,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,1110,30,NORMAL
exp2_19drivers_1car_1route.csv,1140,30,NORMAL
exp2_19drivers_1car_1route.csv,1170,30,NORMAL
exp2_19drivers_1car_1route.csv,1200,30,NORMAL
exp2_19drivers_1car_1route.csv,1230,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,1260,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,1290,30,NORMAL
exp2_19drivers_1car_1route.csv,1320,30,NORMAL
exp2_19drivers_1car_1route.csv,1350,30,NORMAL
exp2_19drivers_1car_1route.csv,1380,30,AGGRESSIVE
exp2_19drivers_1car_1route.csv,1410,30,AGGRESSIVE
